benchmark,myapp_result,z3,q3b,cvc5,bitw,parse+z3,parse+cvc5,parse+bitw,simplify+z3,simplify+cvc5,simplify+bitw,myapp+z3,myapp+cvc5,myapp+bitw
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_21.smt2, myapp_timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_19.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_69.smt2, myapp_timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_5.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_55.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_17.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_50.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_3.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_51.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_18.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_37.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_21.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_22.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_4.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_53.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_54.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_71.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_13.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_49.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_42.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_61.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_1.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_11.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_39.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_20.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_35.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_36.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_70.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_6.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_7.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_2.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_58.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_14.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_26.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_39.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_33.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_37.smt2, myapp_timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_23.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_59.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_38.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_22.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_54.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_55.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_62.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_38.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_16.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_60.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_10.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_23.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_17.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_10.smt2, succ, timeout, sat, sat, sat, timeout, sat, sat, timeout, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_21.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_33.smt2, succ, timeout, sat, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, timeout, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_3.smt2, succ, timeout, sat, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_8.smt2, succ, timeout, timeout, timeout, sat, timeout, timeout, sat, timeout, timeout, sat, timeout, timeout, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_51.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_39.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_47.smt2, succ, unsat, timeout, unsat, timeout, unsat, unsat, timeout, unsat, unsat, timeout, unsat, unsat, timeout
